Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Altona,5/35 Grieve Pde,2,u,406,SP,hockingstuart,6/8/2016,13.8,3018,2,1,1,65,,,Hobsons Bay,-37.8693,144.8171,Western Metropolitan,5301
Altona,4/57 Blyth St,3,u,730,SP,Barlow,13/08/2016,13.8,3018,3,2,1,69,141,2014,Hobsons Bay,-37.868,144.8286,Western Metropolitan,5301
Altona,1/57 Blyth St,3,u,730,SP,Barlow,16/04/2016,13.8,3018,3,2,1,70,,,Hobsons Bay,-37.868,144.8287,Western Metropolitan,5301
Altona,5/57 Blyth St,3,u,730,SP,Barlow,28/05/2016,13.8,3018,3,2,1,70,3,2014,Hobsons Bay,-37.868,144.8285,Western Metropolitan,5301
Ashwood,4/24 Mulgrave St,2,u,535,S,Woodards,18/06/2016,12.2,3147,2,1,1,72,,,Monash,-37.8702,145.1042,Southern Metropolitan,2894
Altona North,3/66 Marion St,2,t,421,S,hockingstuart,4/3/2017,11.1,3025,2,1,1,77,77,2009,Hobsons Bay,-37.8351,144.8529,Western Metropolitan,5132
Albert Park,6 Brooke St,2,h,980,S,Greg,28/05/2016,3.3,3206,2,1,0,79,68,1890,Port Phillip,-37.8387,144.9519,Southern Metropolitan,3280
Albert Park,9 Durham St,1,h,985,S,Marshall,30/07/2016,3.3,3206,1,1,0,81,54,1900,Port Phillip,-37.8411,144.9497,Southern Metropolitan,3280
Alphington,3/19 Harker St,2,u,526,S,Miles,12/11/2016,6.4,3078,2,1,1,88,60,1960,Darebin,-37.7791,145.0306,Northern Metropolitan,2211
Albert Park,24 Kerferd Pl,3,h,1800,S,Marshall,10/9/2016,3.3,3206,3,2,1,90,122,1900,Port Phillip,-37.8421,144.9571,Southern Metropolitan,3280
Abbotsford,40 Federation La,3,h,850,PI,Biggin,4/3/2017,2.5,3067,3,2,1,94,,,Yarra,-37.7969,144.9969,Northern Metropolitan,4019
Abbotsford,159 Park St,2,h,1135,S,Nelson,22/08/2016,2.5,3067,2,2,2,98,128,1920,Yarra,-37.8005,144.9952,Northern Metropolitan,4019
Armadale,4/769 High St,3,t,1205,S,Jellis,3/12/2016,6.3,3143,3,2,2,101,105,2000,Stonnington,-37.854,145.0135,Southern Metropolitan,4836
Armadale,3/769 High St,3,t,1101,S,Jellis,27/11/2016,6.3,3143,3,1,2,103,3,2000,Stonnington,-37.8542,145.0135,Southern Metropolitan,4836
Airport West,2/252 Parer Rd,2,t,450,S,Barry,7/5/2016,13.5,3042,2,1,1,110,90,2015,Moonee Valley,-37.7216,144.871,Western Metropolitan,3464
Abbotsford,42 Henry St,3,h,1200,S,Jellis,16/07/2016,2.5,3067,3,2,1,113,110,1880,Yarra,-37.8056,144.993,Northern Metropolitan,4019
Ascot Vale,2/225 Maribyrnong Rd,2,t,705,S,Brad,18/06/2016,5.9,3032,2,2,1,113,,1998,Moonee Valley,-37.7712,144.9088,Western Metropolitan,6567
Balaclava,1/34 Gourlay St,2,t,1015,S,Gary,7/11/2016,6.6,3183,2,1,2,114,120,2000,Port Phillip,-37.8723,144.9961,Southern Metropolitan,2952
Altona,4/5 Rose St,2,u,425,S,hockingstuart,10/9/2016,13.8,3018,2,1,2,115,57,1980,Hobsons Bay,-37.871,144.8185,Western Metropolitan,5301
Ascot Vale,63 Kent St,2,h,751,PI,Nelson,7/5/2016,5.9,3032,2,1,1,118,79,1890,Moonee Valley,-37.7807,144.9288,Western Metropolitan,6567
Abbotsford,55a Park St,4,h,1600,VB,Nelson,4/6/2016,2.5,3067,3,1,2,120,142,2014,Yarra,-37.8072,144.9941,Northern Metropolitan,4019
Abbotsford,45 Yarra St,3,h,1195,SP,Jellis,27/11/2016,2.5,3067,3,2,1,120,128,1998,Yarra,-37.8022,144.9954,Northern Metropolitan,4019
Airport West,2/62 Clydesdale Rd,2,u,530,S,Nelson,10/9/2016,13.5,3042,2,1,1,120,94,2012,Moonee Valley,-37.7234,144.8792,Western Metropolitan,3464
Albert Park,105 Kerferd Rd,2,h,1275,S,hockingstuart,3/9/2016,3.3,3206,2,1,0,120,82,1900,Port Phillip,-37.8459,144.9555,Southern Metropolitan,3280
Albert Park,55 Merton St,3,h,2100,SP,Marshall,23/04/2016,3.3,3206,2,1,1,120,123,1900,Port Phillip,-37.8427,144.9546,Southern Metropolitan,3280
Abbotsford,52a William St,2,h,1100,PI,Biggin,18/06/2016,2.5,3067,2,2,1,124,135,2013,Yarra,-37.8079,144.9977,Northern Metropolitan,4019
Ascot Vale,73 Kent St,2,h,760,PI,Nelson,27/06/2016,5.9,3032,2,1,1,124,77,1900,Moonee Valley,-37.7807,144.9285,Western Metropolitan,6567
Altona,3/26 Grieve Pde,2,u,510,S,Village,10/9/2016,13.8,3018,2,1,1,127,76,1990,Hobsons Bay,-37.8686,144.8182,Western Metropolitan,5301
Albert Park,94 Graham St,3,h,1850,S,Greg,4/3/2017,3.3,3206,3,2,0,128,133,1890,Port Phillip,-37.8452,144.9488,Southern Metropolitan,3280
Albert Park,31 Richardson St,3,h,1300,S,hockingstuart,10/12/2016,3.3,3206,3,1,0,129,,,Port Phillip,-37.8422,144.949,Southern Metropolitan,3280
Albert Park,396 Montague St,2,h,1436,S,RT,4/3/2017,3.3,3206,2,1,0,130,81,1900,Port Phillip,-37.8431,144.9565,Southern Metropolitan,3280
Albert Park,1 Moubray St,3,h,1800,VB,Greg,7/11/2016,3.3,3206,3,2,1,132,159,1996,Port Phillip,-37.8415,144.952,Southern Metropolitan,3280
Abbotsford,5 Charles St,3,h,1465,SP,Biggin,4/3/2017,2.5,3067,3,2,0,134,150,1900,Yarra,-37.8093,144.9944,Northern Metropolitan,4019
Albert Park,32 Page St,2,h,1340,S,Greg,25/02/2017,3.3,3206,2,1,0,136,,,Port Phillip,-37.846,144.9517,Southern Metropolitan,3280
Avondale Heights,2/6 Nelson Ct,2,t,585,S,Barry,11/2/2017,10.5,3034,2,1,1,136,,2012,Moonee Valley,-37.7623,144.8613,Western Metropolitan,4502
Altona,3/46 Sargood St,2,u,447,S,Burnham,15/10/2016,13.8,3018,2,1,1,137,77,1990,Hobsons Bay,-37.8655,144.8299,Western Metropolitan,5301
Abbotsford,78 Yarra St,3,h,1177,S,LITTLE,16/07/2016,2.5,3067,2,1,1,138,105,1890,Yarra,-37.8021,144.9965,Northern Metropolitan,4019
Airport West,3/19 Hart St,2,u,515,S,Barry,7/11/2016,13.5,3042,2,1,1,141,73,2013,Moonee Valley,-37.7298,144.8883,Western Metropolitan,3464
Airport West,2/13 North St,2,u,510,S,Nelson,22/08/2016,13.5,3042,2,1,1,141,76,,Moonee Valley,-37.7202,144.8797,Western Metropolitan,3464
Albert Park,364 Montague St,2,h,1563,S,Greg,15/10/2016,3.3,3206,2,1,0,141,83,1890,Port Phillip,-37.8424,144.9562,Southern Metropolitan,3280
Armadale,10 William St,1,h,1435,SP,Jellis,8/10/2016,6.3,3143,2,2,1,144,107,1900,Stonnington,-37.8564,145.0228,Southern Metropolitan,4836
Ascot Vale,3/8 Walter St,2,t,865,SP,Nelson,18/03/2017,5.9,3032,2,2,1,146,132,2015,Moonee Valley,-37.7713,144.9038,Western Metropolitan,6567
Abbotsford,49 Park St,2,h,1315,S,Marshall,19/11/2016,2.5,3067,2,1,0,147,85,1900,Yarra,-37.808,144.994,Northern Metropolitan,4019
Abbotsford,166 Gipps St,3,h,1290,S,Biggin,25/02/2017,2.5,3067,3,2,2,147,18,,Yarra,-37.805,144.9943,Northern Metropolitan,4019
Albert Park,75 Graham St,2,h,1110,S,Marshall,6/8/2016,3.3,3206,1,1,0,147,,1900,Port Phillip,-37.8444,144.9484,Southern Metropolitan,3280
Albert Park,97 Page St,3,h,3010,S,Greg,18/03/2017,3.3,3206,3,2,0,147,146,1890,Port Phillip,-37.8473,144.9551,Southern Metropolitan,3280
Albert Park,17 Reed St,3,h,1740,PI,Marshall,28/08/2016,3.3,3206,3,2,2,147,134,1890,Port Phillip,-37.8448,144.9453,Southern Metropolitan,3280
Albert Park,65 Graham St,2,h,1323,S,Greg,15/10/2016,3.3,3206,2,1,0,149,98,1890,Port Phillip,-37.8443,144.9481,Southern Metropolitan,3280
Abbotsford,42 Valiant St,2,h,890,S,Biggin,17/09/2016,2.5,3067,2,1,1,150,73,1985,Yarra,-37.8011,145.0004,Northern Metropolitan,4019
Albert Park,227a Danks St,3,h,2030,S,hockingstuart,28/08/2016,3.3,3206,3,2,0,152,,,Port Phillip,-37.8488,144.9551,Southern Metropolitan,3280
Albert Park,104 Richardson St,4,h,2300,S,Marshall,7/5/2016,3.3,3206,4,2,1,153,180,1880,Port Phillip,-37.8447,144.9523,Southern Metropolitan,3280
Altona North,4/221 Blackshaws Rd,2,u,292,S,Jas,28/08/2016,11.1,3025,2,1,1,153,70,1970,Hobsons Bay,-37.8332,144.8649,Western Metropolitan,5132
Ashburton,2/17 Ashburn Gr,3,t,900,S,Jellis,19/11/2016,11,3147,3,2,2,153,110,1990,Boroondara,-37.8655,145.0808,Southern Metropolitan,3052
Ashwood,4/36 Queens Pde,2,u,600,S,Noel,18/03/2017,12.2,3147,2,1,1,153,80,1970,Monash,-37.8696,145.0962,Southern Metropolitan,2894
Altona,2/60 David St,2,h,536,SP,Compton,30/07/2016,13.8,3018,2,1,1,154,91,1996,Hobsons Bay,-37.8646,144.8272,Western Metropolitan,5301
Alphington,4/2 Miller St,2,t,805,S,Miles,12/11/2016,6.4,3078,2,2,3,155,140,2004,Darebin,-37.7804,145.0308,Northern Metropolitan,2211
Abbotsford,25 Bloomburg St,2,h,1035,S,Biggin,4/2/2016,2.5,3067,2,1,0,156,79,1900,Yarra,-37.8079,144.9934,Northern Metropolitan,4019
Avondale Heights,1/4 Weyburn Pl,2,t,550,SP,Moonee,24/09/2016,10.5,3034,2,1,2,158,,1993,Moonee Valley,-37.7592,144.8681,Western Metropolitan,4502
Albert Park,85 Richardson St,2,h,1455,S,Thomson,3/9/2016,3.3,3206,2,1,0,159,,,Port Phillip,-37.845,144.9538,Southern Metropolitan,3280
Airport West,3/7 South Rd,3,t,540,SP,Nelson,18/06/2016,13.5,3042,2,2,1,161,101,2010,Moonee Valley,-37.7231,144.8802,Western Metropolitan,3464
Abbotsford,47 Studley St,2,h,1180,S,Jellis,27/11/2016,2.5,3067,2,1,0,162,91,1900,Yarra,-37.8016,144.9956,Northern Metropolitan,4019
Albert Park,44 Greig St,2,h,1750,S,Marshall,27/11/2016,3.3,3206,2,1,1,162,,,Port Phillip,-37.8416,144.9488,Southern Metropolitan,3280
Airport West,4/54 Hawker St,2,u,463,S,Barry,16/07/2016,13.5,3042,2,1,1,164,,2003,Moonee Valley,-37.7218,144.8863,Western Metropolitan,3464
Airport West,2/40 Earl St,3,t,700,PI,Brad,15/10/2016,13.5,3042,3,2,2,165,133,2009,Moonee Valley,-37.727,144.887,Western Metropolitan,3464
Abbotsford,48 Abbotsford St,3,h,1448,PI,Nelson,22/08/2016,2.5,3067,3,3,1,166,174,2012,Yarra,-37.8017,145.0001,Northern Metropolitan,4019
Albert Park,54 Brooke St,2,h,1550,S,Sotheby's,7/5/2016,3.3,3206,2,1,1,167,,,Port Phillip,-37.8405,144.9521,Southern Metropolitan,3280
Abbotsford,60 Stafford St,3,h,1290,S,Biggin,25/02/2017,2.5,3067,3,1,1,168,124,1950,Yarra,-37.8007,144.9958,Northern Metropolitan,4019
Airport West,2/49 McIntosh St,2,u,500,VB,Barry,4/3/2017,13.5,3042,2,1,1,168,86,2011,Moonee Valley,-37.7215,144.8864,Western Metropolitan,3464
Altona,3/25 Rayner St,2,u,620,SP,hockingstuart,14/05/2016,13.8,3018,2,1,1,168,,,Hobsons Bay,-37.8676,144.8202,Western Metropolitan,5301
Armadale,34a Rose St,2,h,1125,S,RT,17/09/2016,6.3,3143,3,1,2,169,,,Stonnington,-37.851,145.0161,Southern Metropolitan,4836
Ascot Vale,2 The Parade,2,h,965,S,Nelson,10/12/2016,5.9,3032,2,1,1,170,,,Moonee Valley,-37.7732,144.9206,Western Metropolitan,6567
Altona North,2/36 May St,3,h,675,S,hockingstuart,14/05/2016,11.1,3025,3,2,2,171,109,2012,Hobsons Bay,-37.8337,144.8554,Western Metropolitan,5132
Abbotsford,27 Charles St,2,h,1030,S,Biggin,30/07/2016,2.5,3067,2,1,1,172,81,1930,Yarra,-37.8086,144.9946,Northern Metropolitan,4019
Ascot Vale,4 The Parade,2,h,950,SP,Raine,7/5/2016,5.9,3032,2,1,1,173,102,1900,Moonee Valley,-37.7731,144.9206,Western Metropolitan,6567
Altona,5/8 David St,2,u,580,PI,Biggin,16/07/2016,13.8,3018,2,2,1,175,76,2013,Hobsons Bay,-37.8687,144.8268,Western Metropolitan,5301
Albert Park,2 Dundas Pl,3,h,2615,S,Cayzer,10/12/2016,3.3,3206,3,2,1,177,181,1880,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280
Avondale Heights,40a Herbert St,3,h,561,S,Nelson,16/04/2016,10.5,3034,3,1,1,177,,,Moonee Valley,-37.7664,144.8583,Western Metropolitan,4502
Balaclava,6 Blenheim St,3,h,1193,S,McGrath,18/06/2016,6.6,3183,3,1,1,178,100,1920,Port Phillip,-37.8663,144.9948,Southern Metropolitan,2952
Alphington,2c Hamilton St,3,h,865,SP,hockingstuart,22/05/2016,6.4,3078,3,1,1,180,131,2010,Darebin,-37.7802,145.0243,Northern Metropolitan,2211
Abbotsford,129 Charles St,2,h,941,S,Jellis,7/5/2016,2.5,3067,2,1,0,181,,,Yarra,-37.8041,144.9953,Northern Metropolitan,4019
Altona,2/119 Railway St N,3,u,605,S,Barlow,25/02/2017,13.8,3018,3,1,2,181,,,Hobsons Bay,-37.8659,144.822,Western Metropolitan,5301
Abbotsford,200 Nicholson St,2,h,1013,S,Nelson,28/05/2016,2.5,3067,2,1,0,182,82,1900,Yarra,-37.8021,144.9976,Northern Metropolitan,4019
Abbotsford,196 Nicholson St,3,h,955,S,Collins,17/09/2016,2.5,3067,3,1,0,183,,,Yarra,-37.8022,144.9975,Northern Metropolitan,4019
Albert Park,27 Barrett St,4,h,2140,S,Greg,27/06/2016,3.3,3206,3,2,1,183,145,1880,Port Phillip,-37.8434,144.9495,Southern Metropolitan,3280
Alphington,3/98 Grange Rd,2,u,820,S,Nelson,18/03/2017,6.4,3078,2,1,1,183,,,Darebin,-37.7747,145.0264,Northern Metropolitan,2211
Armadale,75 Sutherland Rd,3,h,1285,S,Marshall,25/02/2017,6.3,3143,3,1,2,186,80,1920,Stonnington,-37.8554,145.0173,Southern Metropolitan,4836
Airport West,145a Victory Rd,2,u,440,S,Barry,13/08/2016,13.5,3042,2,1,1,192,,,Moonee Valley,-37.7177,144.8787,Western Metropolitan,3464
Ashwood,2/6 Murra Ct,2,u,700,S,hockingstuart,22/08/2016,12.2,3147,2,1,2,192,88,2007,Monash,-37.8709,145.102,Southern Metropolitan,2894
Ascot Vale,1/91 Epsom Rd,2,u,545,S,Nelson,28/08/2016,5.9,3032,2,1,2,194,71,1900,Moonee Valley,-37.7772,144.9118,Western Metropolitan,6567
Ascot Vale,6 McCully St,3,h,970,S,Nelson,30/07/2016,5.9,3032,2,1,1,194,,,Moonee Valley,-37.7756,144.921,Western Metropolitan,6567
Abbotsford,45 William St,2,h,1173,S,Biggin,13/08/2016,2.5,3067,2,1,1,195,,,Yarra,-37.8084,144.9973,Northern Metropolitan,4019
Altona,1A Merritt Ct,3,t,705,S,hockingstuart,11/2/2017,13.8,3018,3,2,2,197,152,,Hobsons Bay,-37.8579,144.8181,Western Metropolitan,5301
Albert Park,29 Faussett St,2,h,2120,S,Greg,10/9/2016,3.3,3206,2,1,1,199,107,1900,Port Phillip,-37.8422,144.9554,Southern Metropolitan,3280
Ascot Vale,1 East St,3,t,1000,S,Nelson,27/11/2016,5.9,3032,3,2,2,200,144,2003,Moonee Valley,-37.7766,144.9277,Western Metropolitan,6567
Abbotsford,85 Turner St,2,h,1480,S,Biggin,3/12/2016,2.5,3067,2,1,1,202,,,Yarra,-37.7996,144.9984,Northern Metropolitan,4019
Albert Park,34 Richardson St,3,h,1801,S,hockingstuart,25/02/2017,3.3,3206,3,1,1,202,,,Port Phillip,-37.8429,144.9493,Southern Metropolitan,3280
Ashburton,1/17 Ashburn Gr,3,t,955,S,Buxton,3/12/2016,11,3147,3,2,2,203,,,Boroondara,-37.8655,145.0807,Southern Metropolitan,3052
Altona,3/20 Mulga St,3,u,577,S,Williams,23/04/2016,13.8,3018,3,2,1,205,113,2007,Hobsons Bay,-37.8684,144.815,Western Metropolitan,5301
Armadale,12 Willis St,3,h,2050,S,Marshall,4/3/2017,6.3,3143,3,2,1,205,116,1910,Stonnington,-37.8574,145.0281,Southern Metropolitan,4836
Armadale,31 Hume St,2,h,1900,VB,Jellis,18/03/2017,6.3,3143,2,2,0,207,,,Stonnington,-37.8571,145.0224,Southern Metropolitan,4836
Alphington,5/6 Yarralea St,3,h,1110,S,Jellis,3/9/2016,6.4,3078,3,2,2,208,,2013,Yarra,-37.7854,145.0325,Northern Metropolitan,2211
Albert Park,129 Kerferd Rd,3,h,1900,S,Greg,18/03/2017,3.3,3206,3,1,0,209,,1900,Port Phillip,-37.8468,144.9546,Southern Metropolitan,3280
Albert Park,112 Beaconsfield Pde,3,h,2850,PI,Buxton,4/3/2017,3.3,3206,3,2,0,211,198,1890,Port Phillip,-37.8481,144.9499,Southern Metropolitan,3280
Albert Park,86 Mills St,3,h,2000,VB,RT,16/04/2016,3.3,3206,3,2,1,211,147,1900,Port Phillip,-37.847,144.9575,Southern Metropolitan,3280
Altona,1/152 Blyth St,3,t,743,SP,Gunn&Co,12/11/2016,13.8,3018,3,2,2,211,176,,Hobsons Bay,-37.8698,144.816,Western Metropolitan,5301
Airport West,105a Victory Rd,3,h,612,S,Nelson,22/08/2016,13.5,3042,3,2,1,212,,,Moonee Valley,-37.7181,144.8824,Western Metropolitan,3464
Armadale,14 New St,3,h,1300,VB,Jellis,18/06/2016,6.3,3143,2,1,2,212,106,1900,Stonnington,-37.8542,145.0149,Southern Metropolitan,4836
Ashwood,2/53 Salisbury Rd,3,t,830,S,Barry,28/08/2016,12.2,3147,2,1,2,212,130,2012,Monash,-37.8723,145.1089,Southern Metropolitan,2894
Abbotsford,40 Nicholson St,3,h,1350,VB,Nelson,12/11/2016,2.5,3067,3,2,2,214,190,2005,Yarra,-37.8085,144.9964,Northern Metropolitan,4019
Ascot Vale,8 Geddes St,2,h,710,PI,Nelson,4/6/2016,5.9,3032,2,1,1,214,77,1890,Moonee Valley,-37.7776,144.9142,Western Metropolitan,6567
Ascot Vale,10 Ayr St,3,h,965,S,Alexkarbon,28/08/2016,5.9,3032,3,1,0,216,,,Moonee Valley,-37.7792,144.9297,Western Metropolitan,6567
Ashwood,1/7 Murra Ct,2,u,690,S,Ray,14/05/2016,12.2,3147,2,1,1,216,90,2003,Monash,-37.8711,145.1017,Southern Metropolitan,2894
Armadale,28 Cambridge St,3,h,1870,S,Hodges,4/3/2017,6.3,3143,3,1,1,217,116,1888,Stonnington,-37.8592,145.0182,Southern Metropolitan,4836
Abbotsford,10 Valiant St,2,h,1097,S,Biggin,8/10/2016,2.5,3067,3,1,2,220,75,1900,Yarra,-37.801,144.9989,Northern Metropolitan,4019
Avondale Heights,1/24 Bordeaux St,2,h,523,S,Nelson,24/09/2016,10.5,3034,2,1,1,220,101,1995,Moonee Valley,-37.756,144.8641,Western Metropolitan,4502
Altona,1/136 Queen St,2,u,580,S,Barlow,8/10/2016,13.8,3018,2,1,1,225,93,1988,Hobsons Bay,-37.8696,144.827,Western Metropolitan,5301
Ascot Vale,119 Roseberry St,2,h,750,SP,Maddison,4/6/2016,5.9,3032,2,1,1,226,92,1920,Moonee Valley,-37.7745,144.9093,Western Metropolitan,6567
Ascot Vale,51 Francis St,2,h,770,PI,Nelson,10/9/2016,5.9,3032,2,1,1,226,87,1900,Moonee Valley,-37.7774,144.9186,Western Metropolitan,6567
Ashburton,3/75 Victory Bvd,3,t,968,S,Jellis,18/06/2016,11,3147,3,1,1,227,,,Boroondara,-37.8709,145.0857,Southern Metropolitan,3052
Albert Park,70 Barrett St,3,h,2575,S,Greg,15/10/2016,3.3,3206,3,2,1,228,,,Port Phillip,-37.8445,144.9501,Southern Metropolitan,3280
Ascot Vale,1/17 Epsom Rd,2,u,685,S,Brad,7/11/2016,5.9,3032,2,1,2,228,90,1995,Moonee Valley,-37.7718,144.9066,Western Metropolitan,6567
Ascot Vale,33 Dalgety Dr,3,h,960,S,Walshe,10/12/2016,5.9,3032,3,2,2,229,,2011,Moonee Valley,-37.7778,144.9065,Western Metropolitan,6567
Altona,1/60 David St,3,u,605,S,Jas,10/12/2016,13.8,3018,3,2,2,230,,,Hobsons Bay,-37.8646,144.827,Western Metropolitan,5301
Albert Park,23 Finlay St,5,h,2100,S,Greg,10/12/2016,3.3,3206,5,2,1,237,,,Port Phillip,-37.8436,144.9557,Southern Metropolitan,3280
Abbotsford,16 William St,2,h,1310,S,Jellis,15/10/2016,2.5,3067,2,1,2,238,97,1890,Yarra,-37.809,144.9976,Northern Metropolitan,4019
Albert Park,49 Page St,3,h,2000,PI,Marshall,24/09/2016,3.3,3206,3,1,1,238,131,1890,Port Phillip,-37.8461,144.9528,Southern Metropolitan,3280
Airport West,1/80 Hawker St,3,t,700,S,Brad,4/3/2017,13.5,3042,3,2,2,239,134,2009,Moonee Valley,-37.7218,144.8837,Western Metropolitan,3464
Albert Park,44 Draper St,2,h,1810,PI,Greg,10/12/2016,3.3,3206,2,1,0,240,,,Port Phillip,-37.8379,144.9539,Southern Metropolitan,3280
Ascot Vale,62 Mirams St,3,h,890,SP,Brad,16/07/2016,5.9,3032,3,1,1,242,110,1920,Moonee Valley,-37.7765,144.9114,Western Metropolitan,6567
Balaclava,18 Linton St,4,h,1819,S,Gary,3/9/2016,6.6,3183,3,2,1,244,180,1900,Port Phillip,-37.8668,144.9928,Southern Metropolitan,2952
Abbotsford,124 Yarra St,3,h,1876,S,Nelson,7/5/2016,2.5,3067,4,2,0,245,210,1910,Yarra,-37.8024,144.9993,Northern Metropolitan,4019
Armadale,538a Orrong Rd,3,t,1586,S,RT,7/5/2016,6.3,3143,2,2,2,246,,,Stonnington,-37.8566,145.0116,Southern Metropolitan,4836
Armadale,40 New St,2,h,1210,S,Marshall,12/11/2016,6.3,3143,2,1,0,249,96,1910,Stonnington,-37.8543,145.016,Southern Metropolitan,4836
Altona North,1/256 Mason St,2,t,640,S,Williams,11/3/2017,11.1,3025,2,1,1,252,,1965,Hobsons Bay,-37.8397,144.8602,Western Metropolitan,5132
Altona North,268d Mason St,4,t,848,S,RT,27/06/2016,11.1,3025,4,3,1,252,,,Hobsons Bay,-37.8393,144.8568,Western Metropolitan,5132
Ascot Vale,17 Ascot St,2,h,705,PI,Nelson,27/06/2016,5.9,3032,2,1,3,252,108,1910,Moonee Valley,-37.7825,144.9206,Western Metropolitan,6567
Albert Park,3 Herbert St,3,h,1800,VB,Cayzer,10/9/2016,3.3,3206,3,1,1,253,,,Port Phillip,-37.8443,144.9579,Southern Metropolitan,3280
Ascot Vale,26 Milton St,3,h,933,S,Nelson,28/05/2016,5.9,3032,3,2,1,254,,,Moonee Valley,-37.7738,144.9215,Western Metropolitan,6567
Ascot Vale,11 Ascot St,2,h,955,S,Woodards,11/3/2017,5.9,3032,2,1,0,255,,,Moonee Valley,-37.7825,144.9208,Western Metropolitan,6567
Abbotsford,98 Charles St,2,h,1636,S,Nelson,8/10/2016,2.5,3067,2,1,2,256,107,1890,Yarra,-37.806,144.9954,Northern Metropolitan,4019
