Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Ashburton,5 Nicholas St,3,h,1337,S,Buxton,8/10/2016,11,3147,3,1,2,583,112,1950,Boroondara,-37.8685,145.0786,Southern Metropolitan,3052
Ashburton,12 Meaden St,3,h,1422,S,Buxton,27/11/2016,11,3147,3,1,2,583,,,Boroondara,-37.8679,145.0781,Southern Metropolitan,3052
Ashwood,18 Teck St,2,h,995,S,Tim,3/9/2016,12.2,3147,2,1,1,583,,1950,Monash,-37.8693,145.1082,Southern Metropolitan,2894
Airport West,33 North St,3,h,720,PI,Nelson,25/02/2017,13.5,3042,3,1,1,585,,,Moonee Valley,-37.72,144.878,Western Metropolitan,3464
Altona North,11 Beevers St,3,h,708,S,Greg,15/10/2016,11.1,3025,3,1,2,585,97,1960,Hobsons Bay,-37.8258,144.8523,Western Metropolitan,5132
Ashwood,16 Scenic Dr,5,h,1530,S,Buxton,17/09/2016,12.2,3147,5,3,2,585,317,2000,Monash,-37.8637,145.1024,Southern Metropolitan,2894
Avondale Heights,11 South Tce,3,h,850,SP,Moonee,25/02/2017,10.5,3034,3,2,8,585,,,Moonee Valley,-37.751,144.8571,Western Metropolitan,4502
Avondale Heights,62 Skewes St,4,h,890,S,Moonee,27/11/2016,10.5,3034,4,2,4,585,,1960,Moonee Valley,-37.757,144.8566,Western Metropolitan,4502
Ashwood,4 Teck St,2,h,1110,S,Fletchers,24/09/2016,12.2,3147,2,1,1,586,86,1950,Monash,-37.8683,145.1082,Southern Metropolitan,2894
Avondale Heights,20 Westminster Dr,3,h,893,S,Nelson,22/05/2016,10.5,3034,3,1,1,586,118,1965,Moonee Valley,-37.7642,144.8603,Western Metropolitan,4502
Avondale Heights,8 Moffat St,3,h,695,S,HAR,23/04/2016,10.5,3034,3,1,2,588,,,Moonee Valley,-37.771,144.8586,Western Metropolitan,4502
Alphington,42 Shiers St,4,h,1950,S,Jellis,30/07/2016,6.4,3078,4,2,3,589,210,1920,Darebin,-37.7719,145.0309,Northern Metropolitan,2211
Avondale Heights,109 North Rd,4,h,762,S,Nelson,26/07/2016,10.5,3034,4,2,2,589,150,1961,Moonee Valley,-37.7573,144.8534,Western Metropolitan,4502
Altona North,24 Hansen St,3,h,931,S,hockingstuart,22/08/2016,11.1,3025,3,2,1,590,160,1950,Hobsons Bay,-37.8382,144.8649,Western Metropolitan,5132
Avondale Heights,63 Doyle St,3,h,642,SP,Moonee,28/08/2016,10.5,3034,3,1,1,590,,1960,Moonee Valley,-37.7567,144.8572,Western Metropolitan,4502
Alphington,44 Naroon Rd,3,h,1540,S,Nelson,16/04/2016,6.4,3078,3,1,2,592,,,Darebin,-37.7755,145.0288,Northern Metropolitan,2211
Altona North,45 Hearn St,5,h,1085,S,FN,3/9/2016,11.1,3025,5,3,6,592,251,1965,Hobsons Bay,-37.8388,144.8567,Western Metropolitan,5132
Ashwood,3 Harold St,4,h,1500,S,Buxton,15/10/2016,12.2,3147,4,2,1,593,255,1930,Monash,-37.8655,145.096,Southern Metropolitan,2894
Avondale Heights,8 Norma Ct,3,h,850,S,Moonee,3/9/2016,10.5,3034,3,1,1,593,118,1970,Moonee Valley,-37.7677,144.8674,Western Metropolitan,4502
Avondale Heights,10 Skewes St,3,h,805,S,Nelson,27/11/2016,10.5,3034,3,2,2,593,103,1970,Moonee Valley,-37.7607,144.8581,Western Metropolitan,4502
Ascot Vale,41 Monash St,3,h,1230,S,Nelson,8/10/2016,5.9,3032,4,1,2,594,148,1960,Moonee Valley,-37.7819,144.9064,Western Metropolitan,6567
Airport West,241 Parer Rd,5,h,755,PI,Propertyau,14/05/2016,13.5,3042,3,2,2,596,,,Moonee Valley,-37.7248,144.8699,Western Metropolitan,3464
Airport West,36 Roberts Rd,4,h,785,S,Considine,6/8/2016,13.5,3042,3,1,2,597,127,,Moonee Valley,-37.7259,144.8792,Western Metropolitan,3464
Alphington,6 Naroon Rd,3,h,1485,SP,McGrath,28/08/2016,6.4,3078,3,0,0,597,,,Darebin,-37.7781,145.0284,Northern Metropolitan,2211
Ascot Vale,95 Walter St,4,h,1480,S,Raine,17/09/2016,5.9,3032,4,2,2,597,180,1939,Moonee Valley,-37.7757,144.9088,Western Metropolitan,6567
Avondale Heights,61 Doyle St,3,h,635,SP,Moonee,26/07/2016,10.5,3034,3,1,1,597,,,Moonee Valley,-37.7568,144.8572,Western Metropolitan,4502
Ascot Vale,5 Doncaster St,4,h,1705,S,Jellis,30/07/2016,5.9,3032,4,2,4,598,273,2012,Moonee Valley,-37.7774,144.9104,Western Metropolitan,6567
Alphington,44 Shiers St,4,h,1718,S,Collins,8/10/2016,6.4,3078,4,2,1,599,203,1925,Darebin,-37.7717,145.031,Northern Metropolitan,2211
Ashburton,69 Albion Rd,3,h,1670,S,Jellis,3/12/2016,11,3147,3,2,2,599,220,1930,Boroondara,-37.8673,145.0688,Southern Metropolitan,3052
Altona,156 Maidstone St,3,h,660,VB,Greg,7/5/2016,13.8,3018,3,1,1,602,123,1955,Hobsons Bay,-37.8616,144.8116,Western Metropolitan,5301
Altona North,21 Neal Ct,3,h,770,SP,hockingstuart,19/11/2016,11.1,3025,3,1,3,602,603,,Hobsons Bay,-37.8327,144.8451,Western Metropolitan,5132
Altona,219 Civic Pde,3,h,740,S,Greg,28/08/2016,13.8,3018,3,1,2,604,,,Hobsons Bay,-37.8631,144.8195,Western Metropolitan,5301
Ashburton,14 Lucerne St,3,h,1415,S,Buxton,27/06/2016,11,3147,3,1,1,605,111,1950,Boroondara,-37.8703,145.0774,Southern Metropolitan,3052
Alphington,10 Bennett St,4,h,1830,S,Nelson,19/11/2016,6.4,3078,4,2,2,606,112,1970,Darebin,-37.7743,145.0316,Northern Metropolitan,2211
Altona,22 Fenfield St,3,h,678,S,hockingstuart,16/04/2016,13.8,3018,3,1,2,606,87,1950,Hobsons Bay,-37.8608,144.8124,Western Metropolitan,5301
Avondale Heights,15 River Dr,3,h,725,SP,Moonee,15/10/2016,10.5,3034,3,1,4,606,,,Moonee Valley,-37.752,144.854,Western Metropolitan,4502
Avondale Heights,57 North Rd,3,h,740,SP,Moonee,28/08/2016,10.5,3034,3,1,2,607,,,Moonee Valley,-37.7546,144.857,Western Metropolitan,4502
Airport West,174 Parer Rd,2,h,675,S,Barry,16/07/2016,13.5,3042,2,1,1,612,100,1975,Moonee Valley,-37.7187,144.8765,Western Metropolitan,3464
Airport West,138 Victory Rd,3,h,1042,S,Nelson,16/07/2016,13.5,3042,3,2,5,612,174,1950,Moonee Valley,-37.7173,144.8796,Western Metropolitan,3464
Airport West,117 Marshall Rd,3,h,662,S,Brad,23/04/2016,13.5,3042,3,1,2,612,,,Moonee Valley,-37.7169,144.8815,Western Metropolitan,3464
Airport West,106 Parer Rd,3,h,790,S,Nelson,18/03/2017,13.5,3042,3,1,3,614,,,Moonee Valley,-37.7194,144.8827,Western Metropolitan,3464
Armadale,4 Mercer Rd,3,h,3513,S,Marshall,27/11/2016,6.3,3143,3,2,2,617,285,1998,Stonnington,-37.8557,145.0264,Southern Metropolitan,4836
Armadale,16 Llaneast St,5,h,2810,S,Marshall,28/08/2016,6.3,3143,5,2,2,617,,,Stonnington,-37.8611,145.0271,Southern Metropolitan,4836
Ascot Vale,67 Hurtle St,3,h,1180,SP,Brad,17/09/2016,5.9,3032,3,2,2,617,149,1930,Moonee Valley,-37.7742,144.906,Western Metropolitan,6567
Airport West,54 Marshall Rd,3,h,720,S,Barry,6/8/2016,13.5,3042,2,1,1,620,,,Moonee Valley,-37.7173,144.8872,Western Metropolitan,3464
Ashwood,4 Scenic Dr,4,h,1500,S,Fletchers,6/8/2016,12.2,3147,2,2,2,621,203,2000,Monash,-37.8647,145.1023,Southern Metropolitan,2894
Airport West,110 Halsey Rd,3,h,805,S,Barry,22/08/2016,13.5,3042,3,1,1,623,,,Moonee Valley,-37.7184,144.882,Western Metropolitan,3464
Ascot Vale,97 Walter St,3,h,1284,S,Woodards,4/3/2017,5.9,3032,3,1,2,623,,1938,Moonee Valley,-37.7758,144.9089,Western Metropolitan,6567
Armadale,35 Northcote Rd,4,h,2801,S,Marshall,12/11/2016,6.3,3143,4,2,2,624,222,1900,Stonnington,-37.8536,145.0173,Southern Metropolitan,4836
Altona,164 Maidstone St,3,h,635,S,Sweeney,14/05/2016,13.8,3018,3,1,4,625,,1960,Hobsons Bay,-37.8611,144.8114,Western Metropolitan,5301
Airport West,85 Roberts Rd,4,h,900,S,Harcourts,27/11/2016,13.5,3042,4,2,3,628,146,1975,Moonee Valley,-37.7256,144.8739,Western Metropolitan,3464
Altona North,5 Cresser St,4,h,1200,SP,RT,27/11/2016,11.1,3025,4,1,4,633,158,1960,Hobsons Bay,-37.8375,144.8541,Western Metropolitan,5132
Ashburton,9 Ward St,3,h,1600,S,Fletchers,28/05/2016,11,3147,3,1,2,637,,,Boroondara,-37.8645,145.0797,Southern Metropolitan,3052
Avondale Heights,235 Military Rd,3,h,863,S,Barry,28/08/2016,10.5,3034,3,2,3,638,,,Moonee Valley,-37.7546,144.8585,Western Metropolitan,4502
Avondale Heights,185 Military Rd,3,h,615,SP,Moonee,16/07/2016,10.5,3034,3,1,2,649,,,Moonee Valley,-37.758,144.86,Western Metropolitan,4502
Altona,20 Linnet St,4,h,780,PI,Sweeney,4/6/2016,13.8,3018,4,1,4,655,,,Hobsons Bay,-37.868,144.8154,Western Metropolitan,5301
Altona North,153 Mills St,3,h,1405,S,Sweeney,4/3/2017,11.1,3025,3,1,3,655,,,Hobsons Bay,-37.8338,144.8562,Western Metropolitan,5132
Airport West,43 Hillside Gr,3,h,670,SP,Barry,16/07/2016,13.5,3042,3,2,2,657,,,Moonee Valley,-37.7269,144.8742,Western Metropolitan,3464
Ascot Vale,30 Mirams St,4,h,1300,PI,Jellis,27/11/2016,5.9,3032,4,1,4,664,,,Moonee Valley,-37.7765,144.9132,Western Metropolitan,6567
Altona North,155 Chambers Rd,4,h,760,S,Hunter,27/06/2016,11.1,3025,4,1,3,668,,,Hobsons Bay,-37.8262,144.8439,Western Metropolitan,5132
Avondale Heights,3 Karen Ct,3,h,670,VB,Nelson,4/6/2016,10.5,3034,3,2,2,671,,,Moonee Valley,-37.7593,144.871,Western Metropolitan,4502
Avondale Heights,6 Lovett Dr,4,h,1200,S,Nelson,4/6/2016,10.5,3034,4,5,4,673,,,Moonee Valley,-37.7545,144.8736,Western Metropolitan,4502
Altona,104 Maidstone St,2,h,857,SP,hockingstuart,27/11/2016,13.8,3018,2,2,1,675,100,1950,Hobsons Bay,-37.8653,144.8129,Western Metropolitan,5301
Ashburton,51 Victory Bvd,2,h,1575,S,Jellis,4/3/2017,11,3147,2,1,2,679,,,Boroondara,-37.869,145.0822,Southern Metropolitan,3052
Ashburton,33 Eleanor St,4,h,2215,SP,Marshall,10/9/2016,11,3147,4,2,1,681,,1940,Boroondara,-37.8612,145.0858,Southern Metropolitan,3052
Ascot Vale,58 Fenton St,4,h,1340,S,Nelson,14/05/2016,5.9,3032,3,2,2,683,232,1978,Moonee Valley,-37.775,144.932,Western Metropolitan,6567
Alphington,815 Heidelberg Rd,3,h,2000,PI,hockingstuart,15/10/2016,6.4,3078,3,3,2,686,,,Darebin,-37.78,145.0341,Northern Metropolitan,2211
Ashburton,5 Pitt St,2,h,1440,PI,Jellis,27/06/2016,11,3147,2,1,1,687,104,1940,Boroondara,-37.872,145.0692,Southern Metropolitan,3052
Altona North,35 May St,2,h,610,S,RT,24/09/2016,11.1,3025,2,1,2,691,,,Hobsons Bay,-37.834,144.8553,Western Metropolitan,5132
Armadale,553 Dandenong Rd,5,h,1525,PI,Jellis,7/5/2016,6.3,3143,8,2,2,693,,,Stonnington,-37.8638,145.0229,Southern Metropolitan,4836
Altona,261 Queen St,4,h,1070,S,Barlow,10/9/2016,13.8,3018,4,2,2,695,,,Hobsons Bay,-37.8733,144.8147,Western Metropolitan,5301
Ashwood,18 Montrose St,2,h,1075,VB,Jellis,4/6/2016,12.2,3147,2,1,2,695,114,1950,Monash,-37.8694,145.0944,Southern Metropolitan,2894
Ashburton,5 Taylor St,4,h,1860,S,Jellis,27/11/2016,11,3147,4,2,3,696,274,2000,Boroondara,-37.8711,145.0746,Southern Metropolitan,3052
Altona,15 Kookaburra St,3,h,900,S,Sweeney,28/05/2016,13.8,3018,3,1,4,697,,,Hobsons Bay,-37.871,144.8075,Western Metropolitan,5301
Ashburton,19 Poulter St,3,h,1650,S,Marshall,28/08/2016,11,3147,3,1,1,697,164,1947,Boroondara,-37.8636,145.0903,Southern Metropolitan,3052
Ashburton,48 Nicholas St,5,h,1600,S,Marshall,27/11/2016,11,3147,5,3,4,700,266,1950,Boroondara,-37.8724,145.0758,Southern Metropolitan,3052
Ashburton,18 Glen Rd,3,h,1665,S,Jellis,15/10/2016,11,3147,3,2,3,702,145,1945,Boroondara,-37.8737,145.0695,Southern Metropolitan,3052
Ashburton,95 Nicholas St,2,h,1445,S,Jellis,16/04/2016,11,3147,2,1,2,704,,,Boroondara,-37.8745,145.0738,Southern Metropolitan,3052
Avondale Heights,33 Wood St,3,h,845,S,Nelson,16/07/2016,10.5,3034,3,1,3,704,,,Moonee Valley,-37.7681,144.8592,Western Metropolitan,4502
Avondale Heights,19 Clarendon St,3,h,730,S,Jas,25/02/2017,10.5,3034,3,2,2,705,,,Moonee Valley,-37.766,144.8596,Western Metropolitan,4502
Altona North,84 May St,4,h,970,S,Greg,25/02/2017,11.1,3025,4,1,2,708,,,Hobsons Bay,-37.833,144.8494,Western Metropolitan,5132
Armadale,44 Denbigh Rd,4,h,3625,S,Jellis,27/11/2016,6.3,3143,4,1,2,709,251,1900,Stonnington,-37.8574,145.016,Southern Metropolitan,4836
Ashburton,101/218 High St,2,u,500,VB,Fletchers,4/3/2017,11,3147,2,1,1,710,,2010,Boroondara,-37.8636,145.0794,Southern Metropolitan,3052
Ashburton,3 Mustang Ct,3,h,1500,VB,Jellis,22/08/2016,11,3147,3,2,2,710,139,1945,Boroondara,-37.8653,145.0897,Southern Metropolitan,3052
Altona North,4 Prismall St,3,h,988,S,Sweeney,22/08/2016,11.1,3025,3,1,4,715,,2008,Hobsons Bay,-37.8423,144.8632,Western Metropolitan,5132
Albert Park,4a Mills St,3,t,1550,VB,Marshall,7/11/2016,3.3,3206,3,2,2,718,,,Port Phillip,-37.8443,144.9598,Southern Metropolitan,3280
Ashwood,8 Rocklands Rd,3,h,1120,S,Tim,7/5/2016,12.2,3147,3,1,2,723,,,Monash,-37.8642,145.1109,Southern Metropolitan,2894
Altona,4 Boyd St,3,h,980,S,Barlow,19/11/2016,13.8,3018,3,1,2,724,,,Hobsons Bay,-37.8672,144.817,Western Metropolitan,5301
Ashburton,4 Vears Rd,3,h,1830,S,Jellis,25/02/2017,11,3147,3,2,3,724,168,1940,Boroondara,-37.8619,145.0879,Southern Metropolitan,3052
Ashwood,10 Maroondah Rd,4,h,1270,SP,Buxton,8/10/2016,12.2,3147,4,2,1,724,,,Monash,-37.8651,145.1109,Southern Metropolitan,2894
Ashwood,8 Maroondah Rd,4,h,1415,S,Buxton,13/08/2016,12.2,3147,4,3,2,724,,,Monash,-37.8651,145.1107,Southern Metropolitan,2894
Ashwood,12 Leonard St,4,h,1350,S,Buxton,24/09/2016,12.2,3147,4,2,1,727,,,Monash,-37.8669,145.1106,Southern Metropolitan,2894
Altona,59 Bracken Gr,5,h,1525,S,Greg,3/12/2016,13.8,3018,5,3,3,729,268,2005,Hobsons Bay,-37.8721,144.8105,Western Metropolitan,5301
Ashburton,3 Dunlop St,3,h,1555,S,Jellis,4/6/2016,11,3147,3,2,2,731,149,1935,Boroondara,-37.8666,145.0676,Southern Metropolitan,3052
Altona North,31 Duosa Rd,3,h,923,S,Greg,22/05/2016,11.1,3025,3,1,2,740,,,Hobsons Bay,-37.8269,144.8455,Western Metropolitan,5132
Altona,24 Wren St,4,h,845,S,hockingstuart,11/2/2017,13.8,3018,4,1,2,745,130,1950,Hobsons Bay,-37.8658,144.8155,Western Metropolitan,5301
Ashburton,63 Dent St,4,h,1800,S,Jellis,25/02/2017,11,3147,4,2,4,749,206,1950,Boroondara,-37.8669,145.077,Southern Metropolitan,3052
Ashburton,61 Dent St,4,h,2650,S,Marshall,3/9/2016,11,3147,4,3,2,753,399,2015,Boroondara,-37.8669,145.0767,Southern Metropolitan,3052
Ashburton,29A Yuile St,5,h,3510,S,Jellis,18/03/2017,11,3147,5,5,2,755,444,2015,Boroondara,-37.8598,145.0796,Southern Metropolitan,3052
Ashwood,14 Ashwood Dr,3,h,1305,S,Jellis,25/02/2017,12.2,3147,3,1,1,760,120,1960,Monash,-37.858,145.1038,Southern Metropolitan,2894
Avondale Heights,3 Clive Ct,4,h,950,S,Moonee,10/12/2016,10.5,3034,4,3,3,761,281,1970,Moonee Valley,-37.7524,144.8714,Western Metropolitan,4502
Ashwood,17 Parkhill Dr,4,h,1240,S,Tim,19/11/2016,12.2,3147,4,2,2,766,192,1950,Monash,-37.8629,145.1097,Southern Metropolitan,2894
Avondale Heights,9 Willow Dr,3,h,850,S,Moonee,18/03/2017,10.5,3034,3,1,2,766,149,,Moonee Valley,-37.7522,144.8518,Western Metropolitan,4502
Ashwood,9 Katta Ct,3,h,1060,S,Harcourts,16/07/2016,12.2,3147,2,1,2,772,,,Monash,-37.8707,145.1036,Southern Metropolitan,2894
Airport West,75 King St,3,h,910,S,McDonald,17/09/2016,13.5,3042,3,1,1,775,,,Moonee Valley,-37.7231,144.8835,Western Metropolitan,3464
Altona,173 Queen St,3,h,1335,S,hockingstuart,8/10/2016,13.8,3018,3,1,4,777,22,1953,Hobsons Bay,-37.8697,144.8249,Western Metropolitan,5301
Abbotsford,3/72 Charles St,4,h,1330,PI,Kay,18/03/2017,2.5,3067,4,2,2,780,135,1900,Yarra,-37.8073,144.9952,Northern Metropolitan,4019
Ashburton,45 Yuile St,3,h,1655,S,Jellis,10/12/2016,11,3147,3,1,3,780,152,1940,Boroondara,-37.8599,145.0815,Southern Metropolitan,3052
Ashburton,47 Yuile St,4,h,1550,VB,Marshall,12/11/2016,11,3147,4,2,2,780,180,1938,Boroondara,-37.86,145.0817,Southern Metropolitan,3052
Ashwood,58 Ashwood Dr,3,h,1631,S,Jellis,15/10/2016,12.2,3147,3,2,3,782,215,1950,Monash,-37.8621,145.1021,Southern Metropolitan,2894
Avondale Heights,14 Lovett Dr,4,h,1160,S,Moonee,7/5/2016,10.5,3034,4,3,2,789,,,Moonee Valley,-37.7537,144.8729,Western Metropolitan,4502
Ashwood,35 Douglas St,3,h,1365,S,Fletchers,10/9/2016,12.2,3147,3,1,1,792,792,1950,Monash,-37.864,145.0972,Southern Metropolitan,2894
Altona,51 Millers Rd,4,h,1030,S,Barlow,25/02/2017,13.8,3018,4,1,0,797,,,Hobsons Bay,-37.8663,144.8387,Western Metropolitan,5301
Ashwood,95 Huntingdale Rd,4,h,1100,VB,Tim,10/12/2016,12.2,3147,3,2,2,803,152,1970,Monash,-37.8621,145.1126,Southern Metropolitan,2894
Ashburton,9 Gona Ct,3,h,1710,S,hockingstuart,10/12/2016,11,3147,3,1,2,806,101,1950,Boroondara,-37.8695,145.084,Southern Metropolitan,3052
Alphington,83 Fulham Rd,5,h,2840,S,Nelson,12/6/2016,6.4,3078,5,4,4,809,165,1910,Darebin,-37.775,145.0268,Northern Metropolitan,2211
Avondale Heights,2 Drake Ct,3,h,875,S,Edward,25/02/2017,10.5,3034,3,1,3,812,117,1960,Moonee Valley,-37.765,144.8578,Western Metropolitan,4502
Ashwood,4 Newbury Ct,3,h,1200,VB,Buxton,28/05/2016,12.2,3147,3,2,2,839,198,1970,Monash,-37.8614,145.1098,Southern Metropolitan,2894
Ashwood,28 Raymond St,3,h,1250,S,Woodards,3/12/2016,12.2,3147,3,1,1,842,,,Monash,-37.867,145.1092,Southern Metropolitan,2894
Ashburton,9 Pitt St,4,h,1950,S,Tim,28/05/2016,11,3147,4,2,2,844,278,1940,Boroondara,-37.8715,145.0688,Southern Metropolitan,3052
Altona North,10 Murphy St,4,h,965,SP,Gunn&Co,15/10/2016,11.1,3025,4,1,4,851,,,Hobsons Bay,-37.8345,144.8444,Western Metropolitan,5132
Alphington,6 Smith St,4,h,2000,S,Brace,3/9/2016,6.4,3078,3,2,4,853,263,1930,Darebin,-37.7707,145.0318,Northern Metropolitan,2211
Armadale,1/42 Adelaide St,2,u,550,VB,Noel,3/12/2016,6.3,3143,2,1,0,861,,,Stonnington,-37.8539,145.0284,Southern Metropolitan,4836
Avondale Heights,2 Hillman Ct,4,h,1100,VB,Brad,22/05/2016,10.5,3034,4,3,2,873,395,1992,Moonee Valley,-37.7609,144.8639,Western Metropolitan,4502
Armadale,7/53 Wattletree Rd,1,u,390,S,Jellis,14/05/2016,6.3,3143,1,1,0,881,,,Stonnington,-37.8614,145.0222,Southern Metropolitan,4836
Altona,49 Bent St,3,h,1500,S,Barlow,28/05/2016,13.8,3018,3,1,1,929,,,Hobsons Bay,-37.8651,144.832,Western Metropolitan,5301
Airport West,180 Parer Rd,3,h,830,S,Barry,16/04/2016,13.5,3042,3,1,2,971,113,1960,Moonee Valley,-37.7186,144.876,Western Metropolitan,3464
Airport West,11 Harrington Rd,6,h,725,SP,Barry,7/5/2016,13.5,3042,6,3,2,976,186,1980,Moonee Valley,-37.7239,144.8735,Western Metropolitan,3464
Alphington,22 Lowther St,3,h,1165,S,Barry,27/06/2016,6.4,3078,3,1,2,979,,,Yarra,-37.7792,145.029,Northern Metropolitan,2211
Ascot Vale,75 Maribyrnong Rd,6,h,2425,PI,Brad,4/6/2016,5.9,3032,6,3,2,1014,435,1887,Moonee Valley,-37.7721,144.9184,Western Metropolitan,6567
Altona,29 Rose St,4,h,1780,SP,Greg,4/6/2016,13.8,3018,4,3,6,1057,220,1962,Hobsons Bay,-37.8681,144.819,Western Metropolitan,5301
Airport West,3 Deidre Ct,3,h,895,PI,Rendina,10/9/2016,13.5,3042,3,1,6,1063,133,1975,Moonee Valley,-37.7249,144.8728,Western Metropolitan,3464
Ashburton,159 Ashburn Gr,3,h,1320,PI,Marshall,28/08/2016,11,3147,3,1,2,1063,,,Boroondara,-37.8752,145.0754,Southern Metropolitan,3052
Ashburton,15 Comas Gr,5,h,2752,S,Jellis,22/08/2016,11,3147,6,4,2,1075,390,2010,Boroondara,-37.8714,145.073,Southern Metropolitan,3052
Armadale,2/377 Dandenong Rd,2,u,872,S,Jellis,25/02/2017,6.3,3143,2,1,1,1194,,1953,Stonnington,-37.8604,145.0147,Southern Metropolitan,4836
Ashburton,115 Ashburn Gr,8,h,2950,S,hockingstuart,10/9/2016,11,3147,9,7,4,1472,618,2009,Boroondara,-37.8729,145.0788,Southern Metropolitan,3052
Armadale,367 Dandenong Rd,6,h,5525,S,Marshall,17/09/2016,6.3,3143,5,3,4,1491,516,1935,Stonnington,-37.8602,145.013,Southern Metropolitan,4836
Armadale,526 Orrong Rd,4,h,3000,VB,Jellis,4/6/2016,6.3,3143,4,2,2,1581,,1934,Stonnington,-37.858,145.0111,Southern Metropolitan,4836
Avondale Heights,22 Warrick Ct,4,h,1600,PI,Nelson,10/12/2016,10.5,3034,4,3,3,1801,,,Moonee Valley,-37.7532,144.8766,Western Metropolitan,4502
Ascot Vale,18/54 Epsom Rd,2,u,390,PI,Jellis,25/02/2017,5.9,3032,2,1,1,1957,69,2012,Moonee Valley,-37.7731,144.9074,Western Metropolitan,6567
Armadale,9/19 Mercer Rd,3,u,735,PI,Marshall,7/5/2016,6.3,3143,3,2,1,2113,14,1970,Stonnington,-37.8543,145.0262,Southern Metropolitan,4836
Armadale,10/51 Armadale St,2,u,710,S,Jellis,25/02/2017,6.3,3143,2,1,1,2471,80,1970,Stonnington,-37.8573,145.0186,Southern Metropolitan,4836
Abbotsford,138/56 Nicholson St,3,u,1090,S,Jellis,18/03/2017,2.5,3067,3,2,2,4290,27,,Yarra,-37.8078,144.9965,Northern Metropolitan,4019
